Group_id,Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,1714732987989,-3.54,-5.06,8.19,0.10,0.00,0.04
1,1714732988022,-3.18,-5.00,8.01,0.01,-0.12,-0.02
1,1714732988055,-3.08,-5.32,8.00,-0.04,-0.12,-0.01
1,1714732988088,-3.15,-5.52,7.92,-0.12,-0.06,-0.03
1,1714732988122,-3.30,-5.78,7.88,-0.21,-0.06,-0.05
1,1714732988155,-3.18,-5.89,7.71,-0.21,-0.01,-0.08
1,1714732988188,-3.11,-6.03,8.10,-0.21,0.13,-0.04
1,1714732988222,-3.48,-6.04,8.59,-0.14,0.12,0.01
1,1714732988256,-3.39,-6.15,8.11,-0.02,0.09,0.03
1,1714732988289,-3.20,-6.07,7.74,0.06,0.13,0.03
1,1714732988322,-3.33,-6.06,7.94,0.06,0.17,0.04
1,1714732988355,-3.29,-6.13,7.88,0.05,0.26,-0.00
1,1714732988389,-3.51,-6.06,7.69,0.08,0.24,0.01
1,1714732988450,-3.70,-5.96,7.53,0.09,0.12,0.00
1,1714732988482,-4.05,-5.83,7.38,0.04,0.00,0.03
1,1714732988515,-3.79,-5.99,7.41,-0.07,-0.13,0.05
1,1714732988547,-3.65,-5.96,7.78,-0.11,-0.06,0.03
1,1714732988581,-4.99,-6.81,9.54,0.17,-0.27,0.12
1,1714732988614,-5.85,-7.47,10.75,0.54,-1.28,0.18
1,1714732988648,-2.92,-8.18,14.53,0.77,-1.66,0.20
1,1714732988681,-4.75,-10.11,16.72,1.77,-0.78,0.47
1,1714732988714,-4.37,-8.50,18.34,2.25,-0.23,0.49
1,1714732988746,-7.59,-9.82,19.59,2.70,-0.37,1.03
1,1714732988778,-6.54,-9.33,17.19,3.84,-0.73,1.36
1,1714732988811,-6.56,-7.32,15.11,4.37,-1.21,1.34
1,1714732988844,-5.81,-7.30,11.67,4.37,-1.69,1.44
1,1714732988877,-4.07,-5.26,9.36,4.37,-1.60,1.44
1,1714732988910,-6.30,-4.75,9.24,4.37,-2.14,1.62
1,1714732988942,-1.46,-2.77,5.85,4.37,-2.41,1.56
1,1714732988974,-2.61,-2.09,5.53,4.37,-1.60,1.44
1,1714732989007,-2.73,-1.96,2.81,4.37,-2.37,1.70
1,1714732989039,2.81,0.82,1.00,4.37,-1.56,1.69
1,1714732989073,1.18,2.04,0.70,4.29,-0.64,1.52
1,1714732989105,2.24,3.17,-0.41,3.48,-1.20,1.48
1,1714732989139,4.81,5.21,-2.01,2.84,-0.89,1.36
1,1714732989171,3.95,6.11,-2.11,2.09,-0.29,1.18
1,1714732989204,5.15,7.00,-1.66,1.40,-0.22,0.99
1,1714732989238,6.39,6.66,-1.58,0.84,-0.07,0.75
1,1714732989271,5.66,7.09,-1.64,0.19,0.19,0.39
1,1714732989304,5.77,6.96,-0.70,-0.30,0.43,0.16
1,1714732989337,6.44,6.38,0.70,-0.54,0.51,-0.12
1,1714732989370,5.47,7.03,1.19,-0.79,0.58,-0.40
1,1714732989402,5.51,7.45,1.51,-1.09,0.67,-0.58
1,1714732989436,5.14,6.03,1.89,-1.33,0.79,-0.74
1,1714732989469,3.46,6.27,2.74,-1.63,1.04,-0.91
1,1714732989503,2.78,5.79,3.66,-1.95,1.02,-0.99
1,1714732989536,1.92,3.95,4.02,-2.18,1.09,-1.12
1,1714732989569,0.66,3.08,5.63,-2.37,1.28,-1.28
1,1714732989602,-0.08,3.14,7.02,-2.49,1.47,-1.40
1,1714732989635,-0.89,2.87,8.70,-2.53,1.64,-1.40
1,1714732989668,-2.32,2.03,8.86,-2.30,1.67,-1.30
1,1714732989701,-2.88,1.82,9.34,-2.29,1.33,-1.14
1,1714732989734,-2.49,1.26,10.38,-2.35,1.31,-1.06
1,1714732989766,-3.40,1.21,7.74,-2.00,2.24,-0.83
1,1714732989799,-4.30,1.37,11.67,-2.39,1.08,-0.50
1,1714732989832,-2.02,0.24,12.20,-2.13,0.20,-0.58
1,1714732989864,-1.69,0.25,8.43,-1.91,1.30,-0.82
1,1714732989898,-4.46,-0.01,9.17,-2.30,1.40,-0.71
1,1714732989930,-2.93,-1.13,10.45,-2.47,0.98,-0.87
1,1714732989964,-3.90,-0.90,11.40,-2.74,1.16,-1.09
1,1714732989996,-4.23,-2.77,12.69,-3.14,0.12,-1.20
