Group_id,Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,1714685934824,-3.26,0.76,10.44,0.25,-0.63,0.48
1,1714685934857,-4.81,0.77,10.98,0.27,-0.65,0.56
1,1714685934889,-3.30,0.87,10.41,0.29,-0.74,0.82
1,1714685934921,-4.62,0.25,10.69,0.23,-0.66,1.10
1,1714685934954,-5.22,-0.52,11.05,0.22,-0.87,1.38
1,1714685934987,-2.38,0.80,10.26,0.20,-0.85,1.66
1,1714685935019,-1.65,0.09,11.14,-0.32,-0.59,1.68
1,1714685935051,0.53,0.45,9.28,-0.15,-0.13,1.58
1,1714685935085,-1.42,1.34,10.56,0.35,-0.54,1.44
1,1714685935117,3.46,1.54,10.51,0.12,-0.39,1.33
1,1714685935150,1.32,1.99,11.37,-0.43,-0.03,0.97
1,1714685935182,1.91,1.36,9.98,-0.53,-0.06,0.60
1,1714685935214,4.61,-3.12,7.28,-0.42,0.49,0.10
1,1714685935247,-0.57,1.86,11.71,-0.12,0.03,0.16
1,1714685935279,2.10,1.08,11.12,0.06,0.01,0.25
1,1714685935312,-0.37,0.32,11.71,0.08,-0.33,0.05
1,1714685935345,-0.22,2.59,10.21,0.01,0.19,0.34
1,1714685935377,0.19,1.08,10.00,0.17,0.21,0.06
1,1714685935411,-0.95,0.49,10.30,0.04,0.10,0.08
1,1714685935443,0.24,0.32,10.47,0.05,-0.30,0.05
1,1714685935476,0.76,1.71,9.94,0.18,-0.13,0.05
1,1714685935509,0.01,1.02,11.17,0.26,0.15,0.21
1,1714685935541,-0.34,0.37,11.09,0.18,0.48,0.23
1,1714685935574,-0.42,0.53,10.54,0.13,0.42,0.12
1,1714685935607,-0.48,0.85,10.40,0.16,0.47,0.21
1,1714685935639,-0.57,0.46,11.01,0.17,0.37,0.22
1,1714685935672,-0.52,0.88,10.90,0.08,0.28,0.23
1,1714685935704,-0.70,0.76,11.20,0.09,0.12,0.21
1,1714685935737,-0.20,0.79,10.92,0.13,0.19,0.10
1,1714685935770,-1.22,0.28,10.82,0.09,0.14,0.10
1,1714685935802,-0.56,0.79,10.76,0.05,0.10,0.03
1,1714685935834,-0.85,0.05,10.46,0.02,-0.09,-0.19
1,1714685935868,-0.35,0.42,10.58,0.07,-0.10,-0.13
1,1714685935899,-0.71,0.16,10.50,0.07,-0.33,-0.23
1,1714685935932,-0.68,0.58,10.76,0.05,-0.13,-0.10
1,1714685935964,-0.79,0.69,10.90,0.05,-0.00,0.10
1,1714685935998,-0.48,-0.01,10.79,-0.02,-0.10,-0.19
1,1714685936030,-0.48,0.16,10.59,-0.04,-0.05,-0.14
1,1714685936062,-0.89,-0.35,11.13,0.09,0.00,-0.05
1,1714685936095,-0.90,0.13,10.85,-0.06,-0.03,-0.35
1,1714685936129,-0.65,-0.10,10.64,-0.05,0.06,-0.39
1,1714685936162,-1.14,-0.42,11.03,0.04,-0.08,-0.27
1,1714685936193,-0.38,-0.36,10.81,-0.01,-0.01,-0.30
1,1714685936226,-1.12,-0.70,10.73,0.19,-0.21,-0.17
1,1714685936258,-0.04,-1.12,10.44,0.22,-0.18,-0.49
1,1714685936292,-0.44,-1.48,10.71,0.44,0.39,-0.24
1,1714685936323,-4.57,-2.01,11.05,0.95,0.50,1.26
1,1714685936355,-2.07,6.90,11.47,0.05,-1.40,0.95
1,1714685936388,-0.60,-1.20,10.59,-0.10,-0.34,-0.03
1,1714685936421,-0.67,0.82,11.40,-0.12,1.20,0.23
1,1714685936453,-1.70,0.51,12.61,0.05,-0.22,0.02
1,1714685936486,-0.34,-0.03,11.43,0.14,-0.43,-0.15
1,1714685936519,-1.02,-0.46,11.27,0.22,-0.55,-0.18
1,1714685936551,-0.63,-0.07,10.79,0.26,-0.35,-0.11
1,1714685936583,-0.19,-0.24,10.76,0.31,-0.21,-0.04
1,1714685936616,0.61,-0.14,11.02,0.27,0.28,0.01
1,1714685936648,-2.67,0.44,11.56,0.36,-0.22,-0.03
1,1714685936681,0.74,0.49,9.50,0.27,0.02,-0.09
1,1714685936713,0.37,-0.15,11.22,0.27,-0.86,-0.28
1,1714685936745,0.22,-0.18,9.88,0.22,0.07,-0.01
1,1714685936778,-0.91,-0.04,11.03,0.20,0.19,0.42
1,1714685936811,0.73,0.48,9.45,0.14,0.08,0.41
1,1714685936845,1.12,0.45,12.13,0.13,0.55,0.76
1,1714685936877,0.00,-0.35,10.93,0.19,0.80,0.74
