Group_id,Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,1714126976260,-3.18,0.43,10.53,0.20,-0.36,0.11
1,1714126976364,-3.47,0.36,11.13,0.25,-0.64,0.24
1,1714126976467,-2.68,0.36,11.91,0.61,-0.83,0.75
1,1714126976570,-2.41,0.19,9.95,0.69,-2.02,1.46
1,1714126976671,1.13,1.48,10.39,-0.13,0.01,0.47
1,1714126976773,1.18,1.60,10.72,-0.07,0.03,0.05
1,1714126976876,0.14,1.15,11.09,-0.08,-0.07,0.09
1,1714126976979,0.17,0.80,11.15,0.15,0.19,0.01
1,1714126977082,0.36,0.79,10.34,0.13,0.10,0.00
1,1714126977184,-0.41,1.15,12.26,-0.11,0.19,-0.05
1,1714126977288,1.04,0.96,10.37,0.35,-0.17,0.14
1,1714126977392,-0.48,1.09,10.81,0.29,-0.19,0.02
1,1714126977495,1.38,1.23,10.30,0.20,-0.35,-0.08
1,1714126977598,0.68,0.55,11.11,0.19,0.10,-0.18
1,1714126977706,1.13,0.42,10.91,0.21,0.23,-0.21
1,1714126977809,0.91,0.08,10.65,0.17,-0.02,-0.35
1,1714126977912,0.61,-0.03,10.50,0.11,0.13,-0.98
1,1714126978015,-0.36,1.11,11.14,-0.12,0.21,-0.59
2,1714126981121,1.68,0.92,10.32,-0.15,-0.22,-0.54
2,1714126981223,0.04,0.83,11.06,-0.07,0.13,-0.46
2,1714126981325,-0.43,0.71,11.10,-0.08,0.33,-0.51
2,1714126981427,-0.32,1.00,11.07,-0.16,0.02,-0.28
2,1714126981530,-0.34,0.32,10.41,0.16,0.44,-0.19
2,1714126981633,0.19,-0.69,10.48,0.20,-0.08,-0.09
2,1714126981737,0.35,-0.91,11.00,0.20,0.14,-0.16
2,1714126981839,-0.40,-0.77,11.19,0.13,0.04,-0.12
2,1714126981942,-0.70,-0.23,10.69,0.22,-0.06,0.01
2,1714126982045,-0.65,-0.40,10.71,0.23,-0.16,0.01
2,1714126982148,-0.71,-0.53,11.39,0.21,0.03,-0.10
2,1714126982250,0.60,-0.26,12.34,0.18,0.23,-0.20
2,1714126982353,2.77,-0.01,13.46,1.20,-0.62,0.99
2,1714126982456,2.59,1.31,7.45,-0.73,0.31,0.14
2,1714126982559,-1.73,-0.96,10.47,0.22,-0.02,-0.04
2,1714126982662,-1.66,-1.04,10.58,0.21,0.05,0.01
2,1714126982765,-2.19,-1.02,10.67,0.16,-0.06,0.03
2,1714126982868,-2.08,-0.94,10.59,0.21,0.01,0.06
2,1714126982971,-1.86,-1.00,10.67,0.16,-0.06,0.02
2,1714126983073,-2.41,-0.71,10.56,0.21,0.02,0.04
3,1714126986180,-1.04,-0.92,11.22,0.40,0.28,-0.03
3,1714126986283,-3.16,-0.10,11.50,0.31,0.21,0.13
3,1714126986387,1.23,0.60,9.49,-0.39,0.38,-0.16
3,1714126986490,-1.51,-0.94,10.48,0.20,0.00,-0.00
3,1714126986591,-1.96,-0.96,10.63,0.26,0.06,-0.02
3,1714126986693,-2.11,-0.25,11.98,0.12,-0.15,0.09
3,1714126987358,0.13,2.00,9.75,-0.48,0.22,-0.14
3,1714126988173,-0.77,-0.20,10.47,0.44,0.38,-0.06
4,1714126991277,-1.64,-1.30,10.70,0.24,0.07,-0.03
4,1714126991381,-1.75,-1.37,10.48,0.28,0.10,-0.02
4,1714126991483,-2.10,-1.30,10.21,0.20,0.04,0.00
4,1714126991586,-1.92,-1.36,10.17,0.22,0.14,-0.03
4,1714126991689,-2.08,-1.18,10.69,0.26,0.07,-0.07
4,1714126991792,-2.01,-1.00,10.42,0.25,0.11,-0.03
4,1714126991895,-0.43,-1.53,11.62,0.31,0.16,-0.11
4,1714126991998,-4.00,0.31,13.29,0.26,0.55,0.23
4,1714126992354,1.40,1.16,9.13,-0.27,0.35,-0.09
4,1714126992457,0.00,1.11,9.77,-0.30,0.43,-0.06
4,1714126992560,0.62,0.92,9.79,-0.41,0.47,-0.10
4,1714126992662,0.21,0.72,10.05,-0.43,0.48,-0.03
4,1714126993019,-1.54,0.27,11.09,0.48,0.51,-0.18
4,1714126993145,-1.01,-1.33,10.76,0.33,0.07,-0.06
4,1714126993248,-0.63,-1.85,10.21,0.15,-0.06,-0.01
5,1714126996353,-1.32,-1.27,10.31,0.27,-0.07,-0.10
5,1714126996455,-1.14,-1.57,10.57,0.19,0.07,0.01
5,1714126996559,-1.24,-1.40,10.39,0.21,-0.00,-0.02
5,1714126996661,-1.80,-1.44,10.58,0.22,-0.01,0.05
5,1714126996764,-1.30,-1.45,10.80,0.20,-0.03,0.00
5,1714126996867,-1.04,-1.70,11.45,0.26,0.11,-0.02
5,1714126996970,-1.32,-1.62,11.20,0.37,0.11,0.03
5,1714126997072,-2.72,-1.07,11.67,0.29,0.29,0.10
5,1714126997175,-0.34,-0.67,11.85,0.75,-0.27,0.21
5,1714126997279,-1.09,-0.30,11.61,0.77,-0.35,0.14
5,1714126997382,-0.97,-0.23,11.84,0.75,-0.44,0.09
5,1714126997598,0.81,0.84,9.30,-0.17,0.31,0.02
5,1714126997700,-0.36,0.19,9.32,-0.24,0.30,-0.02
5,1714126997803,0.92,0.58,9.59,-0.28,0.29,-0.16
5,1714126997906,-0.20,0.31,10.11,-0.35,0.64,-0.04
5,1714126998290,-0.79,-0.72,10.44,0.35,0.30,-0.04
6,1714127001396,-1.11,-0.95,10.64,0.31,0.02,0.02
